Symbol 1,Symbol 2,Spell Name,Category,Element,Mana Cost,Damage,Damage Type,Radius,Duration,Status Effects,Traits,Special Flags,Is Dud
Fire 火,(solo),Ember,destructive,fire,10,1.5,fire,0,,burning 3.0s,"burning, heat",channeled,
Water 水,(solo),Splash,environmental,water,5,,,0,1.0,wet 5.0s,"flowing, wet",,
Earth 土,(solo),Null,none,earth,10,,,0,0.1,,solid,,Yes
Wind 風,(solo),Gust,utility,wind,10,,,2,0.5,,"cutting, pressure",,
Ice 氷,(solo),Frost,destructive,ice,8,10,ice,0,1.5,chilled 4.0s,"cold, freezing",,
Electric 電,(solo),Electric,destructive,electric,10,15,electric,2,0.2,,"shock, static",,
Thunder 雷,(solo),Thunder,destructive,electric,40,50,electric,3,0.3,electrified 2.0s,"shock, chain",,
Blaze 炎,(solo),Blaze,destructive,fire,40,50,fire,0,2.0,burning 4.0s,"inferno, spread",,
Force 力,(solo),Push,utility,physical,10,10,physical,0,0.1,,"pressure, impact",,
Life 生,(solo),Null,none,nature,15,,,0,0.1,,healing,,Yes
Light 光,(solo),Light,utility,light,15,,,2,10.0,,"radiance, revealing",,
Darkness 闇,(solo),Darkness,status,dark,20,,,0,0.2,decaying 6.0s,"shadow, corruption",,
Cut 切,(solo),Null,none,physical,5,,,0,0.1,,slashing,,Yes
Stone 石,(solo),Null,none,earth,5,,,0,0.1,,rigid,,Yes
Great 大,(solo),Null,none,none,15,,,0,0.1,,amplify,,Yes
Sword 刀,(solo),Summon Sword,weapon_summon,physical,40,,,0,-1,,"summoning, slashing",weapon:sword,
Axe 斧,(solo),Summon Axe,weapon_summon,physical,40,,,0,-1,,"summoning, slashing",weapon:axe,
Bow 弓,(solo),Summon Bow,weapon_summon,physical,60,,,0,-1,,"summoning, ranged",weapon:bow,
Bullet 弾,(solo),Null,none,,5,,,,,,,,Yes
Fire 火,Water 水,Steam Cloud,environmental,water,15,5,fire,2,5.0,wet 3.0s; obscured 5.0s,"heat, obscuring, wet",,
Earth 土,Fire 火,Magma Burst,destructive,fire,40,15,fire,1,3.0,burning 6.0s,"burning, heavy, melting",directional_shape; tick_damage,
Fire 火,Wind 風,Inferno Gust,destructive,fire,20,25,fire,2,2.0,burning 5.0s,"burning, pressure, spreading",,
Fire 火,Ice 氷,Steam Burst,destructive,water,18,20,water,1,0.3,wet 3.0s,"steam, pressure, heat",,
Fire 火,Force 力,Mini Explosion,destructive,fire,40,35,fire,1.5,0.5,burning 4.0s,"burning, impact, explosion",knockback,
Fire 火,Life 生,Null,none,,5,,,,,,,,Yes
Fire 火,Light 光,Solar Burst,destructive,fire,40,15,fire,2,0.5,burning 3.0s,"burning, radiance, cleansing",cleanses,
Fire 火,Great 大,Greater Ember,destructive,fire,20,15,fire,1,2.0,burning 3.0s,"burning, heat, amplify",,
Fire 火,Sword 刀,Summon Flame Sword,weapon_summon,fire,50,,,,-1,,"summoning, slashing, burning",weapon:flame_sword,
Axe 斧,Fire 火,Summon Flame Axe,weapon_summon,fire,55,,,,-1,,"summoning, slashing, burning",weapon:flame_axe,
Bow 弓,Fire 火,Summon Fire Bow,weapon_summon,fire,70,,,,-1,,"summoning, ranged, burning",weapon:fire_bow,
Bullet 弾,Fire 火,Fireball,destructive,fire,25,25,fire,0,0.1,burning 4.0s,"burning, projectile",projectile(spd:10.0 rng:10.0),
Earth 土,Water 水,Mud Spray,environmental,earth,15,,,3,10.0,slowed 5.0s,"slowing, wet, sticky",,
Water 水,Wind 風,Mist,environmental,water,12,,,3,8.0,wet 3.0s; obscured 8.0s,"obscuring, wet, flowing",,
Ice 氷,Water 水,Frozen Wave,environmental,ice,15,12,ice,1,3.0,frozen 3.0s,"freezing, wet, cold",,
Force 力,Water 水,Water Jet,destructive,water,20,20,physical,0,0.3,wet 5.0s,"pressure, piercing, wet",,
Life 生,Water 水,Rejuvenation,utility,nature,25,-12,healing,0,3.0,wet 2.0s,"healing, cleansing, wet",tick_heal,
Light 光,Water 水,Cleansing Water,utility,light,50,-5,healing,0,0.5,,"healing, cleansing, wet",cleanses,
Darkness 闇,Water 水,Null,none,,5,,,,,,,,Yes
Great 大,Water 水,Greater Splash,environmental,water,15,,,1,1.0,wet 5.0s,"flowing, wet, amplify",,
